
# Surface 0 of 1 surfaces

# Curve title: "f_x(u), f_y(u), f_z(u)"

# IsoCurve 0, 100 points
# x y z type
-8.56162  0.945605 -10 i
 6.99978  5.66629 -9.79798 i
 4.84093 -10.446 -9.59596 i
-9.36271 -3.3169 -9.39394 i
 1.05563  7.11983 -9.19192 i
 7.32304 -5.57423 -8.9899 i
-6.55309 -8.56905 -8.78788 i
-7.21457  5.06046 -8.58586 i
 5.25535  3.63168 -8.38384 i
 1.91625 -7.88471 -8.18182 i
-9.26177 -3.5242 -7.9798 i
-5.03578  7.31066 -7.77778 i
 4.98894  3.65027 -7.57576 i
 1.64738 -5.60807 -7.37374 i
-7.53531 -2.69327 -7.17172 i
-5.8968  6.75729 -6.9697 i
 3.22438  7.11117 -6.76768 i
 5.39057 -0.859341 -6.56566 i
-1.25251 -4.27575 -6.36364 i
-5.8645  1.16693 -6.16162 i
-2.11413  7.18334 -5.9596 i
 4.72985  6.1191 -5.75758 i
 6.6757 -0.0197099 -5.55556 i
 2.62967 -4.0579 -5.35354 i
-2.12093 -2.47896 -5.15152 i
-2.75788  2.01554 -4.94949 i
 0.715621  4.64094 -4.74747 i
 4.777  3.24459 -4.54545 i
 6.20871 -0.686825 -4.34343 i
 4.41874 -4.18987 -4.14141 i
 1.05965 -5.31836 -3.93939 i
-1.73427 -4.06538 -3.73737 i
-2.766 -1.72739 -3.53535 i
-2.10804  0.253657 -3.33333 i
-0.612464  1.07497 -3.13131 i
 0.778408  0.7172 -2.92929 i
 1.47998 -0.342071 -2.72727 i
 1.36638 -1.51372 -2.52525 i
 0.639029 -2.36246 -2.32323 i
-0.372504 -2.69685 -2.12121 i
-1.36636 -2.532 -1.91919 i
-2.14399 -2.0009 -1.71717 i
-2.61881 -1.2704 -1.51515 i
-2.78856 -0.487346 -1.31313 i
-2.69844  0.244196 -1.11111 i
-2.41046  0.863869 -0.909091 i
-1.98431  1.34562 -0.707071 i
-1.46865  1.68606 -0.505051 i
-0.899539  1.89496 -0.30303 i
-0.302686  1.98929 -0.10101 i
 0.302686  1.99032  0.10101 i
 0.899539  1.92278  0.30303 i
 1.46865  1.81454  0.505051 i
 1.98431  1.69545  0.707071 i
 2.41046  1.59398  0.909091 i
 2.69844  1.53047  1.11111 i
 2.78856  1.50664  1.31313 i
 2.61881  1.49287  1.51515 i
 2.14399  1.41748  1.71717 i
 1.36636  1.16644  1.91919 i
 0.372504  0.604681  2.12121 i
-0.639029 -0.371215  2.32323 i
-1.36638 -1.75028  2.52525 i
-1.47998 -3.31949  2.72727 i
-0.778408 -4.6274  2.92929 i
 0.612464 -5.07476  3.13131 i
 2.10804 -4.18035  3.33333 i
 2.766 -1.9665  3.53535 i
 1.73427  0.754536  3.73737 i
-1.05965  2.52523  3.93939 i
-4.41874  2.02806  4.14141 i
-6.20871 -0.755737  4.34343 i
-4.777 -3.90923  4.54545 i
-0.715621 -4.50062  4.74747 i
 2.75788 -1.07598  4.94949 i
 2.12093  4.17956  5.15152 i
-2.62967  6.45036  5.35354 i
-6.6757  3.00672  5.55556 i
-4.72985 -2.65903  5.75758 i
 2.11413 -3.39094  5.9596 i
 5.8645  2.80355  6.16162 i
 1.25251  8.26281  6.36364 i
-5.39057  4.70082  6.56566 i
-3.22438 -3.57152  6.76768 i
 5.8968 -3.66345  6.9697 i
 7.53531  5.21547  7.17172 i
-1.64738  7.45605  7.37374 i
-4.98894 -2.55167  7.57576 i
 5.03578 -7.00613  7.77778 i
 9.26177  3.02226  7.9798 i
